,date,open,close,high,low,volume,money
253,2022-01-17,3690.83,3711.46,3716.06,3688.02,31257429700.0,437998464500.0
254,2022-01-18,3711.69,3741.12,3751.04,3700.64,37695297100.0,470676137400.0
255,2022-01-19,3738.75,3728.82,3750.42,3711.47,33302927100.0,420610564300.0
256,2022-01-20,3726.71,3725.56,3747.8,3710.35,37934230000.0,459581786800.0
257,2022-01-21,3716.82,3691.48,3717.08,3683.43,32628791400.0,417584535200.0
258,2022-01-24,3676.45,3693.1,3701.05,3668.16,28001243600.0,357810202500.0
259,2022-01-25,3677.58,3597.65,3688.67,3597.65,32693564400.0,383473120100.0
260,2022-01-26,3607.8,3621.42,3628.13,3581.65,27494694200.0,338160014600.0
261,2022-01-27,3621.86,3556.99,3622.14,3554.64,28038924700.0,346380695100.0
262,2022-01-28,3570.99,3522.48,3580.92,3517.42,29050211600.0,353519768100.0
263,2022-02-07,3571.14,3594.01,3598.72,3571.14,32020896700.0,356905490800.0
264,2022-02-08,3592.91,3618.24,3618.84,3552.99,36583325600.0,387749437600.0
265,2022-02-09,3616.33,3646.86,3651.9,3609.22,34996364600.0,393480655800.0
266,2022-02-10,3648.92,3653.11,3656.2,3630.35,35541590200.0,404814420500.0
267,2022-02-11,3638.78,3629.05,3668.15,3625.25,36105589800.0,426085742300.0
268,2022-02-14,3617.42,3593.4,3623.13,3579.32,31498758000.0,361438774900.0
269,2022-02-15,3592.53,3611.52,3612.99,3585.81,27531348500.0,341454571600.0
270,2022-02-16,3623.07,3632.27,3641.91,3619.62,27480545700.0,325421866600.0
271,2022-02-17,3630.57,3634.64,3648.25,3620.16,29704139300.0,355593214300.0
272,2022-02-18,3617.44,3658.5,3658.5,3612.61,29482214000.0,326999017900.0
273,2022-02-21,3656.06,3658.36,3660.03,3638.49,30116677400.0,345105460400.0
274,2022-02-22,3640.17,3623.2,3640.28,3602.81,32589853000.0,387409904500.0
275,2022-02-23,3624.64,3656.72,3658.42,3624.3,32527530400.0,415396437200.0
276,2022-02-24,3641.22,3594.62,3654.42,3563.44,48789900200.0,569508494600.0
277,2022-02-25,3610.78,3617.17,3647.25,3606.14,37713800200.0,441400337100.0
278,2022-02-28,3616.02,3628.66,3628.66,3590.05,34543303100.0,413495220700.0
279,2022-03-01,3638.14,3656.55,3658.96,3632.27,32555853500.0,412206890000.0
280,2022-03-02,3645.49,3651.71,3654.27,3633.68,32899964900.0,379862601100.0
281,2022-03-03,3664.04,3648.53,3668.61,3640.32,41229560300.0,443443919900.0
282,2022-03-04,3626.37,3613.44,3642.01,3602.98,39322723300.0,430475057100.0
283,2022-03-07,3603.91,3534.89,3603.91,3522.21,39323346900.0,457818504200.0
284,2022-03-08,3534.65,3451.81,3546.28,3445.26,41548512300.0,485286778900.0
285,2022-03-09,3462.48,3412.88,3481.13,3298.72,46582910800.0,519521454000.0
286,2022-03-10,3471.4,3454.57,3486.57,3449.42,37802147900.0,465797703300.0
287,2022-03-11,3415.98,3469.03,3475.26,3372.12,38383081900.0,458460576100.0
288,2022-03-14,3429.31,3378.68,3456.54,3378.68,33772790800.0,417842804600.0
